Tom and Jerry;5
Scooby-Doo, Where Are You!;5
SpongeBob SquarePants;6
Looney Tunes;7
Avatar: The Last Airbender;8
The Tom and Jerry Show;5
The Simpsons;12
Phineas and Ferb;5
Teen Titans;8
Rick and Morty;16
Gravity Falls;8
What's New, Scooby-Doo?;5
The Fairly OddParents;6
DuckTales;6
Dexter's Laboratory;7
Courage the Cowardly Dog;10
Teenage Mutant Ninja Turtles;11
Pokémon;6
The Pink Panther;10
Adventure Time;10
South Park;15
Animaniacs;7
Futurama;13
Kim Possible;6
Pinky and the Brain;6
Ed, Edd n Eddy;8
The Looney Tunes Show;8
Spider-Man;11
The Powerpuff Girls;8
Garfield and Friends;6
Dragon Ball Z;10
Rugrats;6
Batman: The Animated Series;8
The Grim Adventures of Billy and Mandy;9
Danny Phantom;8
Tiny Toon Adventures;7
Family Guy;15
The Magic School Bus;5
Justice League;11
Yogi Bear;7
Codename: Kids Next Door;8
Regular Show;11
Recess;7
Samurai Jack;14
Tom and Jerry Tales;6
Johnny Bravo;7
Bob's Burgers;13
Ben 10;8
The Jetsons;5
Foster's Home for Imaginary Friends;7
The New Adventures of Winnie the Pooh;3
Chip 'n Dale Rescue Rangers;5
The Flintstones;8
The Smurfs;6
Hey Arnold!;7
Batman Beyond;9
Inspector Gadget;10
Aladdin;8
The Amazing World of Gumball;8
CatDog;7
Gargoyles;8
A Pup Named Scooby-Doo;5
King of the Hill;13
Arthur;15
Alvin and the Chipmunks;5
TaleSpin;5
Timon & Pumbaa;5
Invader Zim;8
Justice League Unlimited;7
The Ren & Stimpy Show;12
The Yogi Bear Show;5
Young Justice;8
Baby Looney Tunes;3
Rocko's Modern Life;11
Lilo & Stitch: The Series;6
Mickey;8
Curious George;3
Blue's Clues;3
Steven Universe;10
Jackie Chan Adventures;8
Naruto;11
Dragon Ball;10
Star Wars: Clone Wars;8
The Little Mermaid;5
Archer;17
Doug;6
American Dragon: Jake Long;8
Hercules;13
The Real Ghostbusters;7
The Batman;8
Clifford the Big Red Dog;3
The Legend of Korra;8
Johnny Test;7
The Bugs Bunny Show;5
Popeye the Sailor;5
The Peanuts;5
The Pink Panther Show;5
X-Men: The Animated Series;7
The Adventures of Jimmy Neutron: Boy genius;5
The Woody Woodpecker Show;5
American Dad!;14
Taz-Mania;5
Darkwing Duck;7
The Porky Pig Show;5
The Transformers;7
The New Scooby-Doo Movies;5
Schoolhouse Rock;5
Beavis and Butt-head;14
G.I. Joe;7
The Huckleberry Hound Show;5
The Care Bears;5
Wile E. Coyote and The Road Runner;5
Tweety and Sylvester;5
The Scooby-Doo Show;5
Scooby-Doo! Mystery, Inc.;7
He-Man and the Masters of the Universe 2002;7
Thundercats 2011;5
Droopy Dog;5
Donald Duck: Disney Animated Shorts;4
The Rocky and Bullwinkle Show;8
The Daffy Duck Show;5
The Bugs Bunny/Road Runner Show;5
The Bugs Bunny and Tweety Show;5
